        Date        ecHMS_Angle ecSHMS_Angle
2018-01-15 01:46:05       21.99        28.66
2018-01-15 01:46:06       21.99         28.7
2018-01-15 01:46:07       21.99        28.75
2018-01-15 01:46:08       21.99         28.8
2018-01-15 01:46:09       21.99        28.84
2018-01-15 01:46:10       21.99         28.9
2018-01-15 01:46:11       21.99        28.93
2018-01-15 01:46:12       21.99        28.98
2018-01-15 01:46:13       21.99        29.02
2018-01-15 01:46:14       21.99        29.03
2018-01-15 01:46:15       21.99        29.07
2018-01-15 01:46:16       21.99         29.1
2018-01-15 01:46:17       21.99        29.12
2018-01-15 01:46:18       21.99        29.14
2018-01-15 01:46:19       21.99        29.17
2018-01-15 01:46:20       21.99         29.2
2018-01-15 01:46:21       21.99        29.21
2018-01-15 01:46:22       21.99        29.24
2018-01-15 01:46:23       21.99        29.27
2018-01-15 01:46:24       21.99         29.3
2018-01-15 01:46:25       21.99        29.32
2018-01-15 01:46:26       21.99        29.34
2018-01-15 01:46:27       21.99        29.38
2018-01-15 01:46:28       21.99        29.41
2018-01-15 01:46:29       21.99        29.42
2018-01-15 01:46:30       21.99        29.45
2018-01-15 01:46:31       21.99        29.48
2018-01-15 01:46:32       21.99        29.49
2018-01-15 01:46:33       21.99        29.52
2018-01-15 01:46:34       21.99        29.53
2018-01-15 01:46:37       21.99        29.55
2018-01-15 01:46:38       21.99        29.56
2018-01-15 01:46:40       21.99        29.58
2018-01-15 01:46:42       21.99        29.61
2018-01-15 01:46:44       21.99        29.62
2018-01-15 01:46:46       21.99        29.64
2018-01-15 01:46:47       21.99        29.65
2018-01-15 01:46:49       21.99        29.67
2018-01-15 01:46:51       21.99        29.69
2018-01-15 01:46:53       21.99        29.71
2018-01-15 01:46:55       21.99        29.73
2018-01-15 01:46:56       21.99        29.74
2018-01-15 01:46:58       21.99        29.76
2018-01-15 01:47:00       21.99        29.78
2018-01-15 01:47:02       21.99         29.8
2018-01-15 01:47:04       21.99        29.81
2018-01-15 01:47:08       21.99        29.83
2018-01-15 01:47:12       21.99        29.85
2018-01-15 01:47:16       21.99        29.87
2018-01-15 01:47:20       21.99        29.89
2018-01-15 01:47:22       21.99         29.9
2018-01-15 01:47:26       21.99        29.92
2018-01-15 01:47:30       21.99        29.94
2018-01-15 01:47:35       21.99        29.96
2018-01-15 01:47:39       21.99        29.98
2018-01-15 01:47:41       21.99        29.99
2018-01-15 01:49:08       22.01        29.99
2018-01-15 01:49:10       22.03        29.99
2018-01-15 01:49:11       22.05        29.99
2018-01-15 01:49:12       22.07        29.99
2018-01-15 01:49:13       22.08        29.99
2018-01-15 01:49:14        22.1        29.99
2018-01-15 01:49:15       22.12        29.99
2018-01-15 01:49:16       22.15        29.99
2018-01-15 01:49:17       22.17        29.99
2018-01-15 01:49:18       22.19        29.99
2018-01-15 01:49:19       22.22        29.99
2018-01-15 01:49:20       22.25        29.99
2018-01-15 01:49:21       22.28        29.99
2018-01-15 01:49:22       22.32        29.99
2018-01-15 01:49:23       22.34        29.99
2018-01-15 01:49:24       22.39        29.99
2018-01-15 01:49:25       22.42        29.99
2018-01-15 01:49:26       22.46        29.99
2018-01-15 01:49:27       22.49        29.99
2018-01-15 01:49:28       22.54        29.99
2018-01-15 01:49:29       22.58        29.99
2018-01-15 01:49:30       22.62        29.99
2018-01-15 01:49:31       22.67        29.99
2018-01-15 01:49:32       22.71        29.99
2018-01-15 01:49:33       22.76        29.99
2018-01-15 01:49:34       22.79        29.99
2018-01-15 01:49:35       22.85        29.99
2018-01-15 01:49:36       22.88        29.99
2018-01-15 01:49:37       22.92        29.99
2018-01-15 01:49:38       22.97        29.99
2018-01-15 01:49:39          23        29.99
